Age,Occupation,Sex,Capital gain,Capital loss,Hours per week,Income
25, Exec-managerial, Female,0,0,40, <=50K
47, Prof-specialty, Female,0,1902,60, >50K
50, Exec-managerial, Male,0,0,55, >50K
47, Exec-managerial, Male,0,0,60, <=50K
43, Tech-support, Male,0,0,40, >50K
46, Machine-op-inspct, Male,0,0,40, <=50K
35, Other-service, Male,0,0,40, <=50K
41, Adm-clerical, Male,0,0,48, <=50K
30, Machine-op-inspct, Male,5013,0,40, <=50K
30, Sales, Male,2407,0,40, <=50K
48, Transport-moving, Male,0,0,40, <=50K
42, Prof-specialty, Male,0,0,45, >50K
29, Tech-support, Male,0,0,58, <=50K
36, Craft-repair, Male,0,0,40, <=50K
28, Adm-clerical, Female,0,0,40, <=50K
53, Adm-clerical, Female,0,0,40, >50K
49, Exec-managerial, Male,0,0,50, >50K
19, Prof-specialty, Male,0,0,32, <=50K
31, Sales, Female,0,0,40, <=50K
29, Sales, Male,0,0,70, >50K
23, Machine-op-inspct, Male,0,0,40, <=50K
79, Prof-specialty, Male,0,0,20, <=50K
27, Other-service, Male,0,0,40, <=50K
40, Adm-clerical, Male,0,0,40, <=50K
18, Other-service, Female,0,0,22, <=50K
31, Farming-fishing, Male,0,0,40, <=50K
18, Sales, Male,0,0,30, <=50K
52, Other-service, Male,0,0,40, <=50K
46, Other-service, Female,0,0,40, <=50K
59, Sales, Male,0,0,48, <=50K
44, Craft-repair, Female,14344,0,40, >50K
53, Sales, Female,0,0,35, <=50K
49, Protective-serv, Male,0,0,40, >50K
33, Prof-specialty, Male,0,0,50, <=50K
30, Sales, Male,0,0,40, <=50K
43, Prof-specialty, Female,0,0,50, >50K
57, Prof-specialty, Male,0,0,40, <=50K
37, Craft-repair, Female,0,0,40, <=50K
28, Machine-op-inspct, Female,0,0,25, <=50K
34, Protective-serv, Male,0,0,40, >50K
29, Handlers-cleaners, Male,0,0,50, <=50K
48, Prof-specialty, Male,0,1902,60, >50K
37, Sales, Male,0,0,48, >50K
48, Exec-managerial, Female,0,0,40, <=50K
32, Other-service, Male,0,0,40, <=50K
76, Exec-managerial, Male,0,0,40, >50K
44, Exec-managerial, Male,15024,0,60, >50K
47, Prof-specialty, Female,0,0,50, <=50K
20, Tech-support, Female,0,0,40, <=50K
29, Craft-repair, Male,0,0,40, <=50K
32, Craft-repair, Male,7688,0,40, >50K
30, Handlers-cleaners, Male,0,0,40, <=50K
31, Adm-clerical, Female,0,0,40, <=50K
42, Handlers-cleaners, Male,0,0,40, <=50K
24, Sales, Male,0,0,40, <=50K
38, Prof-specialty, Male,0,0,40, >50K
56, Other-service, Male,0,1887,50, >50K
28, Sales, Female,4064,0,25, <=50K
36, Machine-op-inspct, Female,0,0,40, <=50K
53, Handlers-cleaners, Male,0,0,50, <=50K
56, Sales, Male,0,0,50, <=50K
49, Craft-repair, Male,0,0,40, >50K
55, Sales, Male,0,0,56, <=50K
22, Craft-repair, Male,0,0,41, <=50K
21, Other-service, Female,0,0,40, <=50K
40, Exec-managerial, Male,0,0,60, <=50K
30, Exec-managerial, Male,0,0,40, <=50K
29, Prof-specialty, Male,0,0,50, >50K
19, Other-service, Male,0,0,35, <=50K
47, Exec-managerial, Female,0,0,40, >50K
20, Adm-clerical, Female,0,1719,28, <=50K
31, Adm-clerical, Male,0,0,40, >50K
39, Craft-repair, Male,0,0,40, <=50K
28, Sales, Female,0,0,60, <=50K
24, Other-service, Female,0,1762,40, <=50K
38, Craft-repair, Male,4386,0,35, <=50K
37, Sales, Male,0,0,50, <=50K
46, Tech-support, Female,0,0,36, <=50K
38, Prof-specialty, Male,0,0,40, >50K
43, Craft-repair, Male,0,0,60, <=50K
27, Adm-clerical, Female,0,0,35, <=50K
20, Sales, Male,0,0,20, <=50K
49, Craft-repair, Male,0,0,40, >50K
61, Craft-repair, Male,0,0,40, <=50K
27, Sales, Female,0,0,40, <=50K
19, Other-service, Male,0,0,30, <=50K
45, Prof-specialty, Female,0,1564,40, >50K
70, Tech-support, Male,0,0,40, <=50K
31, Transport-moving, Female,0,0,30, <=50K
22, Other-service, Male,0,0,24, <=50K
36, Other-service, Female,0,0,24, <=50K
64, Craft-repair, Male,0,2179,40, <=50K
47, Adm-clerical, Female,0,0,38, <=50K
34, Adm-clerical, Female,0,0,40, <=50K
33, Exec-managerial, Female,0,0,40, <=50K
21, Craft-repair, Male,0,0,35, <=50K
48, Craft-repair, Male,0,0,46, <=50K
23, Handlers-cleaners, Male,0,0,40, <=50K
71, Sales, Male,0,1816,2, <=50K
29, Craft-repair, Male,0,0,60, <=50K
42, Other-service, Male,0,0,50, <=50K
25, Other-service, Female,0,0,40, <=50K
44, Exec-managerial, Female,0,0,40, <=50K
28, Exec-managerial, Female,0,0,40, <=50K
45, Sales, Male,0,0,40, >50K
36, Other-service, Female,0,0,40, <=50K
39, Exec-managerial, Male,0,0,42, <=50K
46, Protective-serv, Male,0,0,40, <=50K
18, Handlers-cleaners, Male,0,0,16, <=50K
66, Prof-specialty, Female,0,0,20, <=50K
27, Other-service, Male,0,1980,40, <=50K
28, Protective-serv, Male,0,0,40, <=50K
51, Sales, Male,0,1977,40, >50K
27, Craft-repair, Male,0,0,50, <=50K
28, Prof-specialty, Male,0,0,40, >50K
27, Sales, Female,0,0,25, <=50K
21, Craft-repair, Male,0,0,40, <=50K
34, Handlers-cleaners, Male,0,0,40, <=50K
18, Other-service, Male,0,0,12, <=50K
33, Prof-specialty, Male,0,0,65, <=50K
44, Exec-managerial, Male,0,0,38, >50K
43, Adm-clerical, Female,0,0,40, <=50K
30, Craft-repair, Male,0,0,45, <=50K
40, Machine-op-inspct, Male,0,0,40, >50K
37, Adm-clerical, Male,0,0,42, >50K
34, Adm-clerical, Male,0,0,40, <=50K
41, Exec-managerial, Female,0,0,40, <=50K
31, Prof-specialty, Female,0,0,50, <=50K
58, Prof-specialty, Male,0,0,1, >50K
38, Machine-op-inspct, Female,0,0,28, <=50K
24, Machine-op-inspct, Male,0,0,40, <=50K
41, Craft-repair, Male,0,0,40, <=50K
47, Tech-support, Male,0,0,45, <=50K
41, Tech-support, Male,0,0,24, <=50K
23, Transport-moving, Male,0,0,40, <=50K
36, Craft-repair, Male,0,0,40, <=50K
40, Exec-managerial, Female,14084,0,55, >50K
35, Prof-specialty, Male,7298,0,40, >50K
24, Sales, Male,0,0,40, <=50K
26, Prof-specialty, Female,0,1876,40, <=50K
51, Exec-managerial, Male,0,0,50, >50K
42, Prof-specialty, Female,0,1340,40, <=50K
37, Adm-clerical, Female,0,0,35, <=50K
18, Sales, Female,0,0,40, <=50K
36, Other-service, Male,7298,0,36, >50K
35, Craft-repair, Male,0,0,60, <=50K
58, Sales, Female,15024,0,35, >50K
17, Sales, Female,0,0,12, <=50K
44, Transport-moving, Male,0,0,40, <=50K
37, Craft-repair, Male,0,0,40, >50K
35, Sales, Female,0,0,40, <=50K
60, Craft-repair, Male,0,0,40, <=50K
54, Machine-op-inspct, Male,0,0,40, >50K
37, Exec-managerial, Male,0,0,60, >50K
50, Sales, Female,0,0,40, <=50K
38, Sales, Male,0,0,50, <=50K
45, Prof-specialty, Male,0,0,55, <=50K
25, Craft-repair, Male,0,0,40, <=50K
31, Handlers-cleaners, Male,0,0,40, <=50K
90, Other-service, Male,0,2206,40, <=50K
54, Adm-clerical, Male,0,0,20, <=50K
53, Machine-op-inspct, Female,0,0,35, <=50K
18, Sales, Female,0,0,40, <=50K
66, Farming-fishing, Male,1409,0,50, <=50K
75, Adm-clerical, Female,0,0,20, <=50K
65, Adm-clerical, Female,0,0,40, <=50K
35, Transport-moving, Male,3674,0,40, <=50K
41, Sales, Female,0,0,38, <=50K
25, Adm-clerical, Male,0,0,42, <=50K
33, Craft-repair, Female,0,0,40, <=50K
28, Prof-specialty, Male,0,0,55, >50K
59, Other-service, Male,0,0,40, <=50K
40, Adm-clerical, Female,0,0,38, <=50K
41, Exec-managerial, Male,0,0,50, >50K
38, Exec-managerial, Male,0,0,70, >50K
23, Transport-moving, Male,0,0,40, <=50K
40, Prof-specialty, Male,0,0,40, >50K
41, Other-service, Female,0,0,20, <=50K
24, Protective-serv, Male,0,0,50, <=50K
38, Craft-repair, Male,0,1741,40, <=50K
58, Adm-clerical, Male,0,0,45, >50K
32, Other-service, Female,0,0,34, <=50K
40, Tech-support, Male,0,1977,60, >50K
41, Prof-specialty, Female,0,0,40, >50K
42, Adm-clerical, Female,0,0,40, <=50K
59, Other-service, Female,0,0,30, <=50K
19, Adm-clerical, Male,0,0,40, <=50K
58, Transport-moving, Male,0,0,20, <=50K
42, Farming-fishing, Male,0,0,40, >50K
20, Other-service, Female,0,0,40, <=50K
32, Other-service, Female,0,0,30, <=50K
45, Exec-managerial, Female,0,0,45, <=50K
50, Craft-repair, Male,0,0,40, <=50K
36, Prof-specialty, Female,0,0,40, <=50K
45, Sales, Male,0,0,60, <=50K
17, Other-service, Male,0,0,12, <=50K
59, Sales, Male,4064,0,40, <=50K
26, Craft-repair, Male,0,0,40, <=50K
37, Exec-managerial, Male,0,0,75, >50K
64, Exec-managerial, Male,0,0,40, >50K
33, Prof-specialty, Female,0,0,45, <=50K
33, Craft-repair, Female,0,0,40, >50K
61, Exec-managerial, Male,0,0,40, >50K
17, Other-service, Male,1055,0,24, <=50K
50, Farming-fishing, Male,2407,0,98, <=50K
27, Prof-specialty, Male,0,0,35, <=50K
30, Prof-specialty, Female,0,0,40, <=50K
43, Handlers-cleaners, Male,0,0,40, <=50K
44, Craft-repair, Male,7298,0,40, >50K
35, Exec-managerial, Female,0,0,40, <=50K
25, Tech-support, Female,0,0,40, <=50K
24, Machine-op-inspct, Female,7298,0,48, >50K
22, Prof-specialty, Female,0,0,15, <=50K
42, Craft-repair, Male,5178,0,40, >50K
34, Sales, Female,0,0,45, <=50K
60, Prof-specialty, Female,0,0,42, <=50K
21, Handlers-cleaners, Male,0,0,40, <=50K
57, Sales, Male,15024,0,40, >50K
41, Prof-specialty, Male,0,0,60, >50K
50, Other-service, Male,0,0,45, <=50K
25, Exec-managerial, Female,0,0,40, <=50K
50, Craft-repair, Male,0,0,40, <=50K
36, Prof-specialty, Male,0,0,45, <=50K
31, Prof-specialty, Female,0,0,40, <=50K
29, Protective-serv, Male,0,0,56, <=50K
21, Sales, Male,0,0,45, <=50K
27, Tech-support, Female,0,0,40, <=50K
65, Transport-moving, Male,0,0,16, <=50K
37, Sales, Female,0,0,60, <=50K
24, Craft-repair, Male,0,0,40, <=50K
38, Sales, Male,0,0,80, <=50K
48, Adm-clerical, Male,7688,0,40, >50K
21, Other-service, Female,0,0,25, <=50K
31, Transport-moving, Male,0,0,45, >50K
55, Sales, Male,4386,0,40, >50K
24, Adm-clerical, Female,0,0,40, <=50K
43, Adm-clerical, Female,0,0,40, <=50K
26, Tech-support, Male,0,0,45, <=50K
46, Prof-specialty, Female,0,0,33, <=50K
35, Adm-clerical, Male,0,0,40, >50K
41, Farming-fishing, Male,0,0,54, >50K
26, Sales, Male,0,0,40, <=50K
34, Exec-managerial, Male,7298,0,35, >50K
36, Prof-specialty, Female,0,0,40, >50K
22, Sales, Male,0,0,15, <=50K
24, Machine-op-inspct, Male,0,0,40, <=50K
77, Sales, Male,0,0,40, <=50K
22, Machine-op-inspct, Female,0,0,40, <=50K
29, Tech-support, Female,0,0,40, <=50K
62, Other-service, Female,0,0,24, <=50K
39, Exec-managerial, Male,0,0,40, <=50K
43, Craft-repair, Male,0,1485,50, <=50K
35, Transport-moving, Male,0,0,45, <=50K
29, Exec-managerial, Female,0,0,40, <=50K
76, Craft-repair, Male,0,0,10, <=50K
63, Farming-fishing, Male,0,0,45, <=50K
43, Prof-specialty, Female,0,1887,50, >50K
58, Handlers-cleaners, Male,0,0,40, <=50K
66, Transport-moving, Male,2050,0,55, <=50K
41, Craft-repair, Male,0,0,45, <=50K
26, Adm-clerical, Male,0,0,40, <=50K
47, Other-service, Male,0,0,40, <=50K
55, Adm-clerical, Male,0,0,40, <=50K
53, Transport-moving, Male,0,0,40, <=50K
17, Other-service, Male,0,0,48, <=50K
30, Craft-repair, Male,0,0,40, <=50K
49, Prof-specialty, Male,0,0,60, <=50K
19, Sales, Male,0,0,30, <=50K
45, Other-service, Male,0,0,40, <=50K
26, Sales, Male,0,0,40, <=50K
38, Craft-repair, Male,7298,0,40, >50K
36, Protective-serv, Male,7298,0,40, >50K
33, Farming-fishing, Male,0,0,20, <=50K
22, Protective-serv, Female,0,0,40, <=50K
43, Sales, Male,0,0,42, <=50K
56, Other-service, Male,0,0,25, <=50K
31, Prof-specialty, Male,0,0,25, <=50K
33, Exec-managerial, Male,0,0,40, >50K
26, Other-service, Male,0,0,40, <=50K
33, Exec-managerial, Male,0,0,40, >50K
46, Transport-moving, Male,0,0,30, <=50K
38, Adm-clerical, Male,0,0,40, >50K
65, Other-service, Male,0,0,40, <=50K
40, Tech-support, Male,0,0,40, >50K
42, Adm-clerical, Female,0,0,35, <=50K
26, Craft-repair, Male,0,0,40, <=50K
36, Other-service, Female,0,0,24, <=50K
62, Prof-specialty, Male,0,0,40, >50K
43, Transport-moving, Male,0,0,45, <=50K
43, Exec-managerial, Male,0,1564,45, >50K
22, Sales, Male,0,0,55, <=50K
28, Craft-repair, Male,0,0,40, <=50K
56, Sales, Male,0,0,45, <=50K
22, Sales, Female,0,0,15, <=50K
57, Exec-managerial, Female,0,0,45, >50K
39, Sales, Female,0,0,40, <=50K
26, Adm-clerical, Female,0,0,15, <=50K
17, Other-service, Male,0,0,10, <=50K
40, Machine-op-inspct, Male,0,0,38, >50K
45, Machine-op-inspct, Male,0,0,40, <=50K
44, Craft-repair, Male,0,0,40, <=50K
20, Adm-clerical, Female,0,0,10, <=50K
33, Craft-repair, Female,0,0,40, <=50K
23, Sales, Male,0,0,40, <=50K
46, Exec-managerial, Male,0,0,30, <=50K
38, Sales, Male,0,0,50, <=50K
54, Transport-moving, Male,0,0,40, <=50K
46, Craft-repair, Female,0,2339,45, <=50K
25, Craft-repair, Male,0,0,40, <=50K
46, Sales, Female,0,0,40, <=50K
36, Transport-moving, Female,0,0,40, <=50K
23, Other-service, Female,0,0,25, <=50K
29, Machine-op-inspct, Male,0,0,40, <=50K
44, Adm-clerical, Female,0,2415,6, >50K
19, Adm-clerical, Female,0,0,16, <=50K
19, Other-service, Female,0,0,40, <=50K
35, Other-service, Female,0,0,40, >50K
27, Craft-repair, Male,0,0,50, <=50K
46, Craft-repair, Male,0,0,40, <=50K
34, Other-service, Female,0,0,35, <=50K
44, Tech-support, Male,0,0,40, <=50K
45, Handlers-cleaners, Female,0,0,40, <=50K
25, Exec-managerial, Male,0,0,55, >50K
52, Exec-managerial, Male,0,0,50, >50K
20, Handlers-cleaners, Male,0,0,40, <=50K
28, Other-service, Female,0,0,40, <=50K
50, Protective-serv, Male,0,0,40, >50K
34, Tech-support, Female,0,0,64, <=50K
28, Handlers-cleaners, Male,0,2179,40, <=50K
41, Exec-managerial, Male,0,1977,65, >50K
28, Adm-clerical, Male,0,0,40, <=50K
46, Craft-repair, Male,0,0,25, <=50K
32, Exec-managerial, Male,0,0,50, <=50K
41, Other-service, Female,0,0,24, <=50K
24, Handlers-cleaners, Female,0,0,40, <=50K
33, Exec-managerial, Female,0,0,40, <=50K
46, Exec-managerial, Male,15024,0,60, >50K
31, Machine-op-inspct, Male,0,0,40, <=50K
35, Craft-repair, Male,0,0,50, >50K
52, Machine-op-inspct, Male,0,0,40, <=50K
30, Other-service, Female,0,0,19, <=50K
34, Machine-op-inspct, Male,0,0,40, <=50K
34, Transport-moving, Female,0,0,40, <=50K
20, Sales, Male,0,0,30, <=50K
17, Handlers-cleaners, Male,2176,0,18, <=50K
32, Exec-managerial, Female,0,0,40, >50K
29, Farming-fishing, Male,0,0,40, <=50K
33, Craft-repair, Female,0,0,35, <=50K
25, Transport-moving, Male,0,0,60, <=50K
36, Prof-specialty, Male,0,1408,40, <=50K
23, Handlers-cleaners, Male,0,0,72, <=50K
63, Exec-managerial, Male,0,0,40, >50K
47, Prof-specialty, Male,0,0,40, <=50K
40, Prof-specialty, Female,2174,0,40, <=50K
30, Other-service, Female,0,0,25, >50K
27, Craft-repair, Male,0,1980,40, <=50K
33, Prof-specialty, Male,0,0,50, >50K
34, Farming-fishing, Male,594,0,60, <=50K
34, Protective-serv, Female,0,0,40, <=50K
23, Adm-clerical, Male,0,0,40, <=50K
42, Adm-clerical, Female,0,0,40, <=50K
29, Prof-specialty, Male,0,0,40, <=50K
45, Adm-clerical, Female,0,0,28, <=50K
24, Armed-Forces, Male,0,0,40, <=50K
44, Prof-specialty, Male,0,0,40, >50K
27, Craft-repair, Male,0,0,40, <=50K
20, Sales, Male,0,0,35, <=50K
44, Exec-managerial, Female,0,0,40, <=50K
51, Craft-repair, Male,0,0,40, <=50K
20, Machine-op-inspct, Male,0,0,40, <=50K
19, Machine-op-inspct, Female,0,0,40, <=50K
45, Craft-repair, Male,0,0,55, >50K
60, Craft-repair, Male,0,0,40, >50K
44, Sales, Female,0,0,40, >50K
40, Machine-op-inspct, Male,0,0,40, >50K
30, Exec-managerial, Female,0,0,40, <=50K
38, Transport-moving, Male,0,0,50, <=50K
23, Transport-moving, Male,0,0,60, <=50K
44, Farming-fishing, Male,0,0,40, <=50K
54, Transport-moving, Male,0,0,40, <=50K
32, Prof-specialty, Male,0,0,50, <=50K
50, Craft-repair, Male,0,0,40, <=50K
24, Tech-support, Female,0,0,20, <=50K
37, Adm-clerical, Female,0,0,60, <=50K
52, Transport-moving, Male,0,0,40, <=50K
38, Transport-moving, Male,0,0,40, <=50K
49, Exec-managerial, Male,0,1977,45, >50K
30, Tech-support, Female,0,0,16, >50K
60, Prof-specialty, Male,0,0,40, >50K
35, Craft-repair, Male,0,0,40, <=50K
30, Transport-moving, Male,0,0,60, <=50K
67, Other-service, Female,0,0,24, <=50K
46, Craft-repair, Female,0,0,40, <=50K
17, Other-service, Male,0,0,6, <=50K
22, Handlers-cleaners, Male,0,0,30, <=50K
27, Other-service, Male,0,0,40, <=50K
23, Other-service, Female,0,0,35, <=50K
33, Craft-repair, Male,0,0,45, <=50K
43, Craft-repair, Male,0,0,20, <=50K
28, Prof-specialty, Male,0,0,20, <=50K
41, Craft-repair, Female,0,0,40, <=50K
25, Adm-clerical, Female,0,0,20, <=50K
59, Transport-moving, Male,0,0,45, <=50K
45, Prof-specialty, Female,0,0,40, <=50K
38, Sales, Male,15024,0,60, >50K
40, Other-service, Female,0,0,35, <=50K
46, Adm-clerical, Male,0,0,40, <=50K
35, Exec-managerial, Female,0,0,60, <=50K
34, Prof-specialty, Female,0,0,25, <=50K
33, Craft-repair, Male,0,0,20, <=50K
41, Adm-clerical, Female,0,0,36, <=50K
20, Machine-op-inspct, Male,0,0,40, <=50K
23, Other-service, Male,0,0,40, <=50K
26, Prof-specialty, Female,0,0,35, <=50K
23, Farming-fishing, Male,0,0,40, <=50K
62, Transport-moving, Male,0,0,40, <=50K
52, Adm-clerical, Male,0,0,40, <=50K
58, Other-service, Female,0,0,42, <=50K
25, Sales, Female,0,0,40, <=50K
24, Exec-managerial, Male,0,0,40, <=50K
19, Protective-serv, Male,0,0,8, <=50K
43, Exec-managerial, Male,0,0,40, <=50K
47, Adm-clerical, Female,0,0,40, <=50K
39, Other-service, Female,0,0,40, <=50K
49, Handlers-cleaners, Male,0,1380,42, <=50K
32, Craft-repair, Male,0,0,45, <=50K
34, Prof-specialty, Male,0,0,50, >50K
28, Craft-repair, Male,0,0,45, <=50K
25, Adm-clerical, Female,0,0,20, <=50K
34, Prof-specialty, Male,0,0,50, >50K
38, Exec-managerial, Male,15024,0,80, >50K
50, Exec-managerial, Male,7688,0,50, >50K
24, Handlers-cleaners, Male,0,0,50, <=50K
37, Tech-support, Male,0,0,45, >50K
44, Machine-op-inspct, Male,0,0,58, >50K
28, Sales, Female,0,0,40, <=50K
42, Exec-managerial, Male,0,0,40, >50K
74, Adm-clerical, Female,0,0,9, <=50K
38, Craft-repair, Male,0,0,50, <=50K
44, Prof-specialty, Male,0,0,40, <=50K
44, Machine-op-inspct, Female,0,0,46, <=50K
26, Machine-op-inspct, Male,0,0,40, <=50K
36, Other-service, Male,0,0,40, <=50K
41, Exec-managerial, Female,0,0,50, >50K
67, Prof-specialty, Male,20051,0,48, >50K
39, Tech-support, Male,0,0,50, <=50K
57, Priv-house-serv, Female,0,0,30, <=50K
29, Craft-repair, Male,0,0,40, <=50K
31, Farming-fishing, Female,0,0,45, <=50K
44, Transport-moving, Male,0,0,40, <=50K
29, Prof-specialty, Male,0,0,40, <=50K
30, Handlers-cleaners, Female,0,0,40, <=50K
27, Transport-moving, Male,0,0,40, <=50K
27, Sales, Male,0,0,50, <=50K
32, Handlers-cleaners, Female,0,0,45, <=50K
58, Other-service, Female,0,0,8, <=50K
35, Protective-serv, Male,0,0,40, <=50K
21, Handlers-cleaners, Male,0,0,36, <=50K
28, Craft-repair, Male,0,0,40, <=50K
46, Exec-managerial, Male,0,0,50, <=50K
36, Other-service, Female,0,0,40, <=50K
72, Adm-clerical, Female,0,0,40, <=50K
35, Machine-op-inspct, Female,0,0,40, <=50K
33, Craft-repair, Female,0,0,40, >50K
69, Machine-op-inspct, Female,0,0,40, <=50K
35, Machine-op-inspct, Male,0,0,40, <=50K
34, Tech-support, Female,0,0,32, <=50K
30, Other-service, Male,0,0,40, <=50K
28, Transport-moving, Male,0,0,55, <=50K
54, Sales, Male,0,0,35, >50K
47, Prof-specialty, Male,0,0,50, >50K
24, Handlers-cleaners, Female,0,0,40, <=50K
52, Prof-specialty, Male,0,0,60, >50K
20, Handlers-cleaners, Male,0,0,48, <=50K
43, Exec-managerial, Male,5013,0,45, <=50K
45, Other-service, Female,0,0,40, <=50K
29, Craft-repair, Male,0,0,35, <=50K
47, Exec-managerial, Male,0,0,42, <=50K
24, Craft-repair, Male,0,0,40, <=50K
51, Prof-specialty, Male,0,0,40, <=50K
17, Sales, Male,0,0,12, <=50K
37, Craft-repair, Male,0,1977,40, >50K
27, Prof-specialty, Female,0,0,70, <=50K
29, Exec-managerial, Male,0,0,40, >50K
36, Sales, Female,0,0,35, <=50K
58, Prof-specialty, Female,0,0,40, <=50K
26, Craft-repair, Male,0,0,45, <=50K
57, Sales, Male,0,0,40, >50K
59, Craft-repair, Male,0,0,40, <=50K
27, Machine-op-inspct, Male,0,0,40, <=50K
31, Tech-support, Male,0,0,40, <=50K
21, Sales, Female,0,0,24, <=50K
29, Adm-clerical, Male,0,0,60, <=50K
18, Other-service, Male,0,0,40, <=50K
52, Craft-repair, Male,0,1887,47, >50K
57, Prof-specialty, Male,0,0,80, <=50K
60, Transport-moving, Male,0,0,48, >50K
31, Prof-specialty, Male,7688,0,40, >50K
23, Adm-clerical, Female,0,0,40, <=50K
27, Sales, Male,0,0,40, <=50K
42, Prof-specialty, Male,0,1902,50, >50K
25, Tech-support, Male,2174,0,40, <=50K
49, Prof-specialty, Female,0,0,45, <=50K
32, Tech-support, Male,0,0,40, <=50K
19, Adm-clerical, Male,0,0,28, <=50K
60, Other-service, Female,0,0,40, <=50K
42, Other-service, Male,0,0,40, <=50K
35, Farming-fishing, Male,0,0,40, <=50K
48, Adm-clerical, Female,0,0,37, <=50K
51, Craft-repair, Male,0,0,40, >50K
29, Craft-repair, Male,0,0,40, <=50K
36, Exec-managerial, Male,0,0,40, <=50K
17, Other-service, Female,0,0,21, <=50K
52, Prof-specialty, Female,6849,0,60, <=50K
24, Craft-repair, Male,0,0,40, <=50K
24, Handlers-cleaners, Male,0,0,50, <=50K
26, Prof-specialty, Male,1055,0,40, <=50K
27, Other-service, Female,0,0,20, <=50K
39, Handlers-cleaners, Male,0,0,60, <=50K
30, Transport-moving, Male,0,0,45, <=50K
50, Exec-managerial, Male,0,0,32, <=50K
52, Sales, Male,0,0,55, <=50K
46, Prof-specialty, Male,15024,0,45, >50K
23, Sales, Female,0,0,20, <=50K
45, Other-service, Female,0,0,20, <=50K
65, Priv-house-serv, Female,0,0,24, <=50K
29, Transport-moving, Male,0,0,55, <=50K
47, Handlers-cleaners, Male,0,0,40, <=50K
30, Farming-fishing, Male,0,0,60, <=50K
34, Sales, Male,0,0,45, >50K
38, Sales, Male,0,0,64, <=50K
33, Exec-managerial, Male,0,0,40, >50K
49, Sales, Male,0,0,26, >50K
47, Other-service, Female,0,0,40, <=50K
49, Other-service, Female,0,0,40, <=50K
43, Craft-repair, Male,15024,0,60, >50K
30, Adm-clerical, Female,0,0,40, >50K
58, Craft-repair, Male,0,0,60, <=50K
19, Other-service, Female,0,0,14, <=50K
21, Handlers-cleaners, Male,0,0,40, <=50K
33, Exec-managerial, Male,15024,0,60, >50K
47, Transport-moving, Male,0,0,50, <=50K
52, Prof-specialty, Male,0,0,60, >50K
26, Craft-repair, Male,0,0,55, <=50K
60, Craft-repair, Male,0,0,40, <=50K
21, Handlers-cleaners, Male,0,0,40, <=50K
36, Sales, Male,5178,0,50, >50K
31, Craft-repair, Male,0,0,45, <=50K
50, Prof-specialty, Male,0,0,40, >50K
31, Adm-clerical, Female,0,0,40, <=50K
71, Craft-repair, Male,0,0,15, <=50K
30, Tech-support, Male,0,0,40, >50K
20, Other-service, Male,0,0,20, <=50K
24, Exec-managerial, Male,4101,0,50, <=50K
35, Prof-specialty, Male,0,0,40, >50K
38, Exec-managerial, Female,0,0,45, <=50K
27, Machine-op-inspct, Female,0,0,32, <=50K
29, Adm-clerical, Female,0,0,40, <=50K
34, Craft-repair, Male,0,0,45, <=50K
